MAP_ID,AGENCY_ID,INTID,DATE,COUNTY,SYNCHRO_ID,ROAD1,ROAD2,ROAD3,CITY1,IS_SIGNALIZED,ZONE,TMC_DONE,TMC_DATE,LATITUDE,LONGITUDE,AM_PEAK,PM_PEAK,NORTH_LEG_IN_TOTAL,NORTH_LEG_OUT_TOTAL,NORTH_LEG_IN_AM_PEAK,NORTH_LEG_OUT_AM_PEAK,NORTH_LEG_IN_PM_PEAK,NORTH_LEG_OUT_PM_PEAK,SOUTH_LEG_IN_TOTAL,SOUTH_LEG_OUT_TOTAL,SOUTH_LEG_IN_AM_PEAK,SOUTH_LEG_OUT_AM_PEAK,SOUTH_LEG_IN_PM_PEAK,SOUTH_LEG_OUT_PM_PEAK,EAST_LEG_IN_TOTAL,EAST_LEG_OUT_TOTAL,EAST_LEG_IN_AM_PEAK,EAST_LEG_OUT_AM_PEAK,EAST_LEG_IN_PM_PEAK,EAST_LEG_OUT_PM_PEAK,WEST_LEG_IN_TOTAL,WEST_LEG_OUT_TOTAL,WEST_LEG_IN_AM_PEAK,WEST_LEG_OUT_AM_PEAK,WEST_LEG_IN_PM_PEAK,WEST_LEG_OUT_PM_PEAK
193_306,193,306,6/6/2017 12:00:00 AM,-,,NORTH DAKOTA AVENUE NW,QUACKENBOS STREET NW,,-,False,,Yes,6/6/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,354,271,130,140,224,131,467,624,250,231,217,393,469,224,286,59,183,165,446,617,142,378,304,239
193_307,193,307,6/22/2017 12:00:00 AM,-,,TEXAS AVENUE SE,DUBOIS PLACE SE,,-,False,,Yes,6/22/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,1197,1274,314,433,681,659,1253,1190,424,314,651,672,0,0,0,0,0,0,49,35,16,7,22,23
193_308,193,308,6/6/2017 12:00:00 AM,-,,NORTH DAKOTA AVENUE NW,PEABODY ST NW,,-,False,,Yes,6/6/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,576,424,219,242,357,182,59,1255,43,463,16,792,847,8,517,4,330,4,738,533,277,347,461,186
193_309,193,309,6/6/2017 12:00:00 AM,-,,NORTH DAKOTA AVENUE NW,QUACKENBOS STREET NW,,-,False,,Yes,6/6/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,354,271,130,140,224,131,467,624,250,231,217,393,469,224,286,59,183,165,446,617,142,378,304,239
193_310,193,310,6/6/2017 12:00:00 AM,-,,NORTH DAKOTA AVENUE NW,RITTENHOUSE STREET NW,,-,False,,Yes,6/6/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,247,207,92,106,155,101,275,375,141,141,134,234,155,124,77,36,78,88,260,231,87,114,173,117
193_311,193,311,6/22/2017 12:00:00 AM,-,,13TH STREET NW,EUCLID STREET NW,,-,True,,Yes,6/22/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,2844,2083,1666,593,1178,1490,2106,2681,634,1585,1472,1096,405,739,216,180,189,559,983,835,289,447,694,388
193_312,193,312,7/11/2017 12:00:00 AM,-,,CONSTITUTION AVENUE NE,16TH STREET NE,,-,False,,Yes,7/11/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,54,99,20,31,25,45,125,161,33,51,67,86,136,199,67,36,55,139,265,121,53,55,173,50
193_313,193,313,7/11/2017 12:00:00 AM,-,,8TH STREET NE,D STREET NE,,-,False,,Yes,7/11/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,1414,1249,564,559,629,532,1269,1224,562,520,540,511,0,798,0,206,0,484,588,0,159,0,358,0
193_314,193,314,7/14/2017 12:00:00 AM,-,,13TH STREET NE,UPSHUR STREET NE,,-,False,,Yes,7/14/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,1197,1327,579,356,443,763,1299,1045,340,480,756,404,287,616,189,152,67,398,562,357,110,230,386,87
193_315,193,315,7/14/2017 12:00:00 AM,-,,19TH STREET NE,CONSTITUTION AVENUE NE,,-,False,,Yes,7/14/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,2,1933,2,687,0,975,1938,4,705,2,963,1,83,51,37,13,39,34,66,101,19,61,40,32
193_316,193,316,6/14/2017 12:00:00 AM,-,,12TH STREET NE,jackson street ne,,-,False,,Yes,6/14/2017 12:00:00 AM,38.929085,-76.990728,06:30-09:30,15:30-18:30,1183,1656,465,677,538,727,1620,1184,660,468,715,539,114,121,27,63,72,44,125,81,81,25,32,47
193_317,193,317,7/18/2017 12:00:00 AM,-,,18TH STREET NE,BUNKER HILL ROAD NE,,-,False,,Yes,7/18/2017 12:00:00 AM,38.941512,-76.980268,06:30-09:30,15:30-18:30,639,20,381,5,191,11,55,653,13,370,33,220,725,700,476,105,213,515,748,794,115,505,548,239
193_318,193,318,7/25/2017 12:00:00 AM,-,,14TH STREET NW,ALLISON STREET NW,,-,False,,Yes,7/25/2017 12:00:00 AM,38.945066,-77.032726,06:30-09:30,15:30-18:30,1942,1604,930,449,744,882,1568,1963,435,967,869,730,295,225,149,65,104,122,233,246,76,109,121,104
193_319,193,319,6/25/2017 12:00:00 AM,-,,14TH STREET NW,VARNUM STREET NW,,-,False,,Yes,6/25/2017 12:00:00 AM,38.94293,-77.032726,06:30-09:30,15:30-18:30,1752,1184,790,431,712,563,1184,2199,431,940,563,923,0,0,0,0,0,0,447,0,150,0,211,0
193_320,193,320,7/31/2017 12:00:00 AM,-,,MARYLAND AVENUE NE,3RD STREET NE,,-,False,,Yes,7/31/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,0,1297,0,629,0,448,1096,0,497,0,403,0,2008,1471,1288,400,466,816,1644,1980,513,1269,853,458
193_321,193,321,9/8/2017 12:00:00 AM,-,,17TH STREET NE,LAWRENCE STREET NE,,-,False,,Yes,9/8/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,243,178,120,77,100,83,171,234,75,114,78,89,202,122,122,50,54,63,110,192,41,117,56,53
193_322,193,322,9/8/2017 12:00:00 AM,-,,2ND STREET NE,S STREET NE,,-,False,,Yes,9/8/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,1791,0,981,0,603,0,0,1888,0,1040,0,635,136,39,71,12,52,20,0,0,0,0,0,0
